CollectionName,Barcode,ShelfLocation,CallNumber,Author,Title,Publisher,PublicationYear
Magazine,39067060722216,,,,Consumer reports. v. 79 no. 4  (Apr. 2014),Consumers Union.,1942
Magazine,39067060481714,In Library Use Only,,,Kiplinger's retirement report. v. 21 no. 7  (July 2014),"Kiplinger Washington Editors, Inc.,",1994
Magazine,39067060137753,In Library Use Only,,,Eating well. v. 13 no. 4  (July/Aug. 2014),"Eating Well Magazine,",1990
Magazine,39067061145987,In Library Use Only,,,ADDitude. Vol. 14 No. 4  (Summer 2014),"ADDitude Foundation,",2000
Magazine,39067060565359,In Library Use Only,,,Traditional home. Volume XXV Issue V  (July/August 2014),"Special Interest Publications,",
Magazine,39067060137639,In Library Use Only,,,Crochet world Vol. 37 No. 4  (August 2014),House of White Birches],
Nonfiction,39067060551813,,,"Weiner, Lois.",The future of our schools : teachers unions and social justice,,2012
Nonfiction,39067053680397,,005.74 WHITE,"White, Tom.",Hadoop : the definitive guide,"O'Reilly,",2010
Nonfiction,39067060821984,,242.4 LEWIS,"Lewis, C. S. (Clive Staples), 1898-1963.",A grief observed,"HarperSanFrancisco,",2001
Nonfiction,39067057753166,,253.52 SANDE,"Sande, Ken.",The peacemaker : a Biblical guide to resolving personal conflict,"Baker Books,",2004
Nonfiction,39067022360527,,271.302 TALBOT,"Talbot, John Michael.",The lessons of St. Francis : how to bring simplicity and spirituality into your daily life,"Dutton,",1997
Nonfiction,39067055079879,,305.2609 PILLEME,"Pillemer, Karl A.",30 lessons for living : tried and true advice from the wisest Americans,"Hudson Street Press,",2011
Nonfiction,39067040579355,,305.4201 HOOKS,"hooks, bell, 1952-",Feminism is for everybody : passionate politics,"South End Press,",2000
Nonfiction,39067051798308,,306.709 EISLER,"Eisler, Riane Tennenhaus.","Sacred pleasure : sex, myth, and the politics of the body","HarperOne,",1996
Nonfiction,39067044577462,,338.1759 STEWART,"Stewart, Amy.",Flower confidential,"Algonquin Books,",2007
Nonfiction,39067056835527,,362.883 PHELPS,"Phelps, M. William.","Jane Doe no more : my 15-year fight to reclaim my identity : a true story of survival, hope, and redemption","Lyons Press,",2012
Nonfiction,39067052864109,,610.7372 RODICAN,"Rodican, Andrew J.",The ultimate guide to getting into physician assistant school,"McGraw-Hill Medical,",2011
Nonfiction,39067057338836,,613.2 7 YEARS,,7 years younger : the revolutionary 7-week anti-aging plan,"Hearst Magazines,",2012
Nonfiction,39067043717945,,618.9285 KETOGEN,,The ketogenic diet : a treatment for children and others with epilepsy,Demos :,2007
Nonfiction,39067053739532,,635.5 HILL,"Hill, Fiona, 1946-",Microgreens : how to grow nature's own superfood,"Firefly Books,",2010
Nonfiction,39067033133921,,636.8 DICKEY,"Dickey, Page.",Cats in their gardens,"Stewart, Tabori & Chang,",2002
Nonfiction,39067060899444,,641.563 FENSTER,"Fenster, Carol Lee.",Gluten-free 101,,2013
Nonfiction,39067046042754,,641.59 LAKSHMI,"Lakshmi, Padma.","Tangy, tart, hot & sweet : a world of recipes for every day","Weinstein Books,",2007
Nonfiction,39067054465533,,641.631 GREEN,"Green, Patricia.",Quinoa 365 : the everyday superfood,"Whitecap,",2010
Nonfiction,39067042482012,,641.692 REX JOH,"Rex-Johnson, Braiden, 1956-",Pike Place Public Market seafood cookbook,"Ten Speed Press,",2005
Nonfiction,39067056600566,,641.8654 CUTHBER,"Cuthbert, Pippa.","Cookies! : irresistible recipes for cookies, bars, squares and slices","Good Books,",2007
Nonfiction,39067055539104,,643.7 STAGGS,"Staggs, Brad.",Spend-a-little save-a-lot home improvements : money-saving projects anyone can do,"Betterway Home,",2011
Nonfiction,39067042854855,,646.77 GRAY,"Gray, John, 1951-","Mars and Venus starting over : a practical guide for finding love again after a painful breakup, divorce, or the loss of a loved one","HarperCollinsPublishers,",1998
Nonfiction,39067057507745,,649.122 MURKOFF,"Murkoff, Heidi Eisenberg.",What to expect® the first year,"Workman Pub.,",2010
Nonfiction,39067055290492,,658.4 CHARAN,"Charan, Ram.",What the CEO wants you to know : using business acumen to understand how your company really works,"Crown Business,",2001
Nonfiction,39067058182787,,683.8207 SMITH,"Smith, David G.","The book of Griswold & Wagner : favorite Pique, Sidney Hollow Ware, Wapak","Schiffer Pub.,",2010
Nonfiction,39067046948026,,739.27 GARNER,"Garner, Tammy.",Metal clay in a day,"North Light Books,",2008
Nonfiction,39067058714555,,741.5973 ADAMS,"Adams, Scott, 1957-","Your new job title is ""accomplice""","Andrews McMeel Pub., LLC,",2013
Nonfiction,39067055396182,,741.5973 ADAMS,"Adams, Scott, 1957-",Your accomplishments are suspiciously hard to verify,"Andrews McMeel Pub.,",2011
Nonfiction,39067043034408,,745.5942 WIRE,"Wire, CeCe.","Creative metal clay jewelry : techniques, projects, inspiration","Lark Books,",2003
Nonfiction,39067039727528,,751.4251 ZHEN,"Zhen, Lian Quan, 1957-",Chinese painting techniques for exquisite watercolors,"North Light Books,",2000
Nonfiction,39067031268539,,782.4216 ALL AMER,,"All American patriotic songbook : voice, piano, guitar",Creative Concepts Pub. ;,1996
Nonfiction,39067051392995,,811.54 HUDGINS,"Hudgins, Andrew.","Shut up, you're fine! : poems for very, very bad children","Overlook Press,",2009
Nonfiction,39067056378205,,823.914 LEAVY,"Leavy, Barbara Fass, 1936-",The fiction of Ruth Rendell : ancient tragedy and the modern family,"Poisoned Pen Press,",2012
Nonfiction,39067030735603,,891.5511 JALAL A,"Jala?l al-Di?n Ru?mi?, Maulana, 1207-1273.",The illustrated Rumi : a treasury of wisdom from the poet of the soul : a new translation,"Harper San Francisco,",2000
Nonfiction,39067058332960,,914.4042 BRABBS,"Brabbs, Derry, author.",The roads to Santiago : the medieval pilgrim routes through France and Spain to Santiago de Compostela,,2013
Nonfiction,39067060144825,,917.9794 BLAIR,"Blair, Seabury, author.",Day hike! Olympic Peninsula,"Sasquatch Books,",2014
Readers,39067027308265,,E BAUER,"Bauer, Marion Dane.",Bear's hiccups,"Holiday House,",1998
Readers,39067050073307,,E HOFF,"Hoff, Syd, 1912-2004.",Captain Cat : story and pictures,"HarperCollins,",1993
Readers,39067054816180,,E OSULLIV,"O'Sullivan, Kate, 1986-",Curious George colors eggs,"Houghton Mifflin Harcourt,",2011
Readers,39067050921588,,E YEE,"Yee, Wong Herbert.",Mouse and Mole : fine feathered friends,"Houghton Mifflin Books for Children,",2009
Teen Fiction,39067059287452,,TEEN COHN,"Cohn, Rachel.",Nick & Norah's infinite playlist,Knopf :,2006
Teen Fiction,39067051035636,,TEEN CUSICK,"Cusick, Richie Tankersley.",It begins,"Speak,",2005
Teen Fiction,39067052159351,,TEEN CUSICK,"Cusick, Richie Tankersley.",Shadow mirror,"Speak,",2010
Teen Fiction,39067058417522,,TEEN MCGARRY,"McGarry, Katie.",Dare you to,"Harlequin Teen,",2013
Teen Fiction,39067047016534,,TEEN WELLS,"Wells, Helen, 1910-","Cherry Ames, student nurse","Springer Pub.,",2006
